region,ave,FID
Europe,Muscicapa striata,8.5
Europe,Numenius americanus ,25.7
Europe,Numenius arquata,62.75
Europe,Oenanthe oenanthe,16.25
Europe,Oriolus oriolus,39.67
Europe,Parus ater,5.09
Europe,Parus caeruleus,4.8
Europe,Parus cristatus,6.08
Europe,Parus major,5.9
Europe,Parus palustris,6.88
Europe,Passer domesticua,12.4
Europe,Passer hispaniolensis,11.94
Europe,Passer montanus,5.11
Europe,Perdix perdix,32.71
Europe,Phasianus colchicus,62.2
Europe,Phoenicurus ochruros,6.95
Europe,Phoenicurus phoenicurus,9.1
Europe,Phylloscopus bonelli,4.95
Europe,Phylloscopus trochilus,6.28
Europe,Pica pica,13
Europe,Picus viridis,17
Europe,Picus viridis ,16.5
Europe,Prunella modularis,9.2
Europe,Pyrrhula pyrrhula,5.9
Europe,Regulus ignicapillus,5.25
Europe,Regulus regulus,4.07
Europe,Remiz pendulinus,6.17
Europe,Riparia riparia,23.1
Europe,Saxicola rubetra,16.65
Europe,Saxicola torquata,9.14
Europe,Serinus serinus,5.07
Europe,Sitta europaea,6.59
Europe,Streptopelia decaocto,5.38
Europe,Sylvia atricapilla,5.73
Europe,Sylvia borin,6.44
Europe,Sylvia cantillans,5.69
Europe,Sylvia communis,11.7
Europe,Sylvia conspicillata,7.27
Europe,Sylvia curruca,4.7
Europe,Sylvia melanocephala,5.9
Europe,Sylvia undata,10.86
Europe,Tadorna tadorna,48.57
Europe,Tetrao tetrix,17
Europe,Tetrao urogallus,27
Europe,Tringa totanus,29.71
Europe,Troglodytes troglodytes,5.64
Europe,Turdus iliacus,12.75
Europe,Turdus philomelos,15.8
Europe,Turdus pilaris,14.21
Europe,Turdus viscivorus,19.33
Europe,Upupa epops,19.96
Europe,Vanellus vanellus,41.32
